date,time_period,avg_speed,unique_cars,car_percentage
2020-09-07,2020-09-07 00:00:00,7.89875165935847,18,0.36
2020-09-07,2020-09-07 02:00:00,8.173046849186568,10,0.2
2020-09-07,2020-09-07 04:00:00,8.618080374268954,14,0.28
2020-09-07,2020-09-07 06:00:00,6.562776020301934,42,0.84
2020-09-07,2020-09-07 08:00:00,6.871792307386044,47,0.94
2020-09-07,2020-09-07 10:00:00,6.891175048353926,46,0.92
2020-09-07,2020-09-07 12:00:00,7.224726430789991,46,0.92
2020-09-07,2020-09-07 14:00:00,6.836165189521924,43,0.86
2020-09-07,2020-09-07 16:00:00,6.531555283256829,44,0.88
2020-09-07,2020-09-07 18:00:00,6.693265739227879,45,0.9
2020-09-07,2020-09-07 20:00:00,7.004701624955908,40,0.8
2020-09-07,2020-09-07 22:00:00,7.057043550085931,32,0.64
